订单编号,省份,品类,月份,销售额,订单量
SO1100167,浙江,家居日用,11,1340.7,50026
SO1200168,浙江,家居日用,12,910.2,33963
SO0100169,浙江,美妆个护,1,396.88,14809
SO0200170,浙江,美妆个护,2,333.74,12453
SO0300171,浙江,美妆个护,3,428.45,15987
SO0400172,浙江,美妆个护,4,,16828
SO0500173,浙江,美妆个护,5,487.08,18175
SO0600174,浙江,美妆个护,6,730.62,27262
SO0700175,浙江,美妆个护,7,441.98,16492
SO0800176,浙江,美妆个护,8,460.02,17165
SO0900177,浙江,美妆个护,9,505.12,１８８４８
SO1000178,浙江,美妆个护,10,541.2,20194
SO1100179,浙江,美妆个护,11,,36686
SO1200180,浙江,美妆个护,12,667.48,24906

SO0100181,山东,数码家电,1,929.28,34675
SO0200182,山东,数码家电,2,781.44,29158
SO0300183,山东,数码家电,3,1003.2,37433
SO0400184,山东,数码家电,4,1056.0,39403
SO0500185,山东,数码家电,5,1140.48,42555
SO0600186,山东,数码家电,6,,63833
SO0700187,山东,数码家电,7,1034.88,38615
SO0800188,山东,数码家电,8,1077.12,40191
SO0900189,山东,数码家电,9,1182.72,44131
SO1000190,山东,数码家电,10,1267.2,４７２８４
SO1100191,山东,数码家电,11,2302.08,85899
SO1200192,山东,数码家电,12,1562.88,58316
SO0100193,山东,服饰鞋包,1,,26006
SO0200194,山东,服饰鞋包,2,586.08,21869
SO0300195,山东,服饰鞋包,3,752.4,28075
SO0400196,山东,服饰鞋包,4,792.0,29552
SO0500197,山东,服饰鞋包,5,855.36,31916
SO0600198,山东,服饰鞋包,6,1283.04,47875
SO0700199,山东,服饰鞋包,7,776.16,28961
SO0800200,山东,服饰鞋包,8,,30143

SO0900201,山东,服饰鞋包,9,887.04,33099
SO1000202,山东,服饰鞋包,10,950.4,35463
SO1100203,山东,服饰鞋包,11,1726.56,６４４２４
SO1200204,山东,服饰鞋包,12,"1,172.16",43737
SO0100205,山东,食品生鲜,1,522.72,19504
SO0200206,山东,食品生鲜,2,439.56,16401
SO0300207,山东,食品生鲜,3,,21056
SO0400208,山东,食品生鲜,4,594.0,22164
SO0500209,山东,食品生鲜,5,641.52,23937
SO0600210,山东,食品生鲜,6,962.28,35906
SO0700211,山东,食品生鲜,7,582.12,21721
SO0800212,山东,食品生鲜,8,605.88,22607
SO0900213,山东,食品生鲜,9,665.28,24824
SO1000214,山东,食品生鲜,10,,26597
SO1100215,山东,食品生鲜,11,"1,294.92",48318
SO1200216,山东,食品生鲜,12,879.12,３２８０３
SO0100217,山东,家居日用,1,435.6,16254
SO0200218,山东,家居日用,2,366.3,13668
SO0300219,山东,家居日用,3,470.25,17547
SO0400220,山东,家居日用,4,495.0,18470

SO0500221,山东,家居日用,5,,19948
SO0600222,山东,家居日用,6,801.9,29922
SO0700223,山东,家居日用,7,485.1,18101
SO0800224,山东,家居日用,8,504.9,18840
SO0900225,山东,家居日用,9,554.4,20687
SO1000226,山东,家居日用,10,594.00,22164
SO1100227,山东,家居日用,11,1079.1,40265
SO1200228,山东,家居日用,12,,27336
SO0100229,山东,美妆个护,1,319.44,１１９１９
SO0200230,山东,美妆个护,2,268.62,10023
SO0300231,山东,美妆个护,3,344.85,12868
SO0400232,山东,美妆个护,4,363.0,13545
SO0500233,山东,美妆个护,5,392.04,14628
SO0600234,山东,美妆个护,6,588.06,21943
SO0700235,山东,美妆个护,7,,13274
SO0800236,山东,美妆个护,8,370.26,13816
SO0900237,山东,美妆个护,9,406.56,15170
SO1000238,山东,美妆个护,10,435.6,16254
SO1100239,山东,美妆个护,11,791.34,29528
SO1200240,山东,美妆个护,12,537.24,20046

SO0100241,河南,数码家电,1,732.16,27319
SO0200242,河南,数码家电,2,,22973
SO0300243,河南,数码家电,3,790.4,29493
SO0400244,河南,数码家电,4,832.0,31045
SO0500245,河南,数码家电,5,898.56,33528
SO0600246,河南,数码家电,6,1347.84,50293
SO0700247,河南,数码家电,7,815.36,30424
SO0800248,河南,数码家电,8,848.64,31666
SO0900249,河南,数码家电,9,,34770
SO1000250,河南,数码家电,10,998.4,37254
SO1100251,河南,数码家电,11,1813.76,67678
SO1200252,河南,数码家电,12,1231.36,45946
SO0100253,河南,服饰鞋包,1,549.12,20490
SO0200254,河南,服饰鞋包,2,461.76,17230
SO0300255,河南,服饰鞋包,3,592.8,２２１１９
SO0400256,河南,服饰鞋包,4,,23284
SO0500257,河南,服饰鞋包,5,673.92,25146
SO0600258,河南,服饰鞋包,6,1010.88,37719
SO0700259,河南,服饰鞋包,7,611.52,22818
SO0800260,河南,服饰鞋包,8,636.48,23749

SO0900261,河南,服饰鞋包,9,698.88,26078
SO1000262,河南,服饰鞋包,10,748.8,27940
SO1100263,河南,服饰鞋包,11,,50758
SO1200264,河南,服饰鞋包,12,923.52,34460
SO0100265,河南,食品生鲜,1,411.84,15367
SO0200266,河南,食品生鲜,2,346.32,12922
SO0300267,河南,食品生鲜,3,444.6,16590
SO0400268,河南,食品生鲜,4,468.0,１７４６３
SO0500269,河南,食品生鲜,5,505.44,18860
SO0600270,河南,食品生鲜,6,,28290
SO0700271,河南,食品生鲜,7,458.64,17113
SO0800272,河南,食品生鲜,8,477.36,17812
SO0900273,河南,食品生鲜,9,524.16,19558
SO1000274,河南,食品生鲜,10,561.6,20955
SO1100275,河南,食品生鲜,11,1020.24,38069
SO1200276,河南,食品生鲜,12,692.64,25845
SO0100277,河南,家居日用,1,,12806
SO0200278,河南,家居日用,2,288.6,10769
SO0300279,河南,家居日用,3,370.5,13825
SO0400280,河南,家居日用,4,390.0,14552

SO0500281,河南,家居日用,5,421.20,15716
SO0600282,河南,家居日用,6,631.8,23575
SO0700283,河南,家居日用,7,382.2,14261
SO0800284,河南,家居日用,8,,14843
SO0900285,河南,家居日用,9,436.8,16299
SO1000286,河南,家居日用,10,468.0,17463
SO1100287,河南,家居日用,11,850.2,31724
SO1200288,河南,家居日用,12,577.2,21537
SO0100289,河南,美妆个护,1,251.68,9391
SO0200290,河南,美妆个护,2,211.64,7897
SO0300291,河南,美妆个护,3,,10138
SO0400292,河南,美妆个护,4,286.00,10672
SO0500293,河南,美妆个护,5,308.88,11525
SO0600294,河南,美妆个护,6,463.32,１７２８８
SO0700295,河南,美妆个护,7,280.28,10458
SO0800296,河南,美妆个护,8,291.72,10885
SO0900297,河南,美妆个护,9,320.32,11952
SO1000298,河南,美妆个护,10,,12806
SO1100299,河南,美妆个护,11,623.48,23264
SO1200300,河南,美妆个护,12,423.28,15794

SO0100301,四川,数码家电,1,675.84,25218
SO0200302,四川,数码家电,2,568.32,21206
SO0300303,四川,数码家电,3,729.60,27224
SO0400304,四川,数码家电,4,768.0,28657
SO0500305,四川,数码家电,5,,30949
SO0600306,四川,数码家电,6,1244.16,46424
SO0700307,四川,数码家电,7,752.64,２８０８４
SO0800308,四川,数码家电,8,783.36,29230
SO0900309,四川,数码家电,9,860.16,32096
SO1000310,四川,数码家电,10,921.6,34388
SO1100311,四川,数码家电,11,1674.24,62472
SO1200312,四川,数码家电,12,,42412
SO0100313,四川,服饰鞋包,1,506.88,18913
SO0200314,四川,服饰鞋包,2,426.24,15904
SO0300315,四川,服饰鞋包,3,547.2,20418
SO0400316,四川,服饰鞋包,4,576.0,21493
SO0500317,四川,服饰鞋包,5,622.08,23212
SO0600318,四川,服饰鞋包,6,933.12,34818
SO0700319,四川,服饰鞋包,7,,21063
SO0800320,四川,服饰鞋包,8,587.52,２１９２２

SO0900321,四川,服饰鞋包,9,645.12,24072
SO1000322,四川,服饰鞋包,10,691.2,25791
SO1100323,四川,服饰鞋包,11,1255.68,46854
SO1200324,四川,服饰鞋包,12,852.48,31809
SO0100325,四川,食品生鲜,1,380.16,14185
SO0200326,四川,食品生鲜,2,,11928
SO0300327,四川,食品生鲜,3,410.4,15313
SO0400328,四川,食品生鲜,4,432.0,16119
SO0500329,四川,食品生鲜,5,466.56,17409
SO0600330,四川,食品生鲜,6,699.84,26113
SO0700331,四川,食品生鲜,7,423.36,15797
SO0800332,四川,食品生鲜,8,440.64,16442
SO0900333,四川,食品生鲜,9,,18054
SO1000334,四川,食品生鲜,10,518.4,19343
SO1100335,四川,食品生鲜,11,941.76,35140
SO1200336,四川,食品生鲜,12,639.36,23857
SO0100337,四川,家居日用,1,316.8,11821
SO0200338,四川,家居日用,2,266.4,9940
SO0300339,四川,家居日用,3,342.0,12761
SO0400340,四川,家居日用,4,,13433

SO0500341,四川,家居日用,5,388.8,14507
SO0600342,四川,家居日用,6,583.2,21761
SO0700343,四川,家居日用,7,352.8,13164
SO0800344,四川,家居日用,8,367.2,13701
SO0900345,四川,家居日用,9,403.2,15045
SO1000346,四川,家居日用,10,432.0,１６１１９
SO1100347,四川,家居日用,11,,29284
SO1200348,四川,家居日用,12,532.8,19881
SO0100349,四川,美妆个护,1,232.32,8669
SO0200350,四川,美妆个护,2,195.36,7290
SO0300351,四川,美妆个护,3,250.8,9358
SO0400352,四川,美妆个护,4,264.0,9851
SO0500353,四川,美妆个护,5,285.12,10639
SO0600354,四川,美妆个护,6,,15958
SO0700355,四川,美妆个护,7,258.72,9654
SO0800356,四川,美妆个护,8,269.28,10048
SO0900357,四川,美妆个护,9,295.68,11033
SO1000358,四川,美妆个护,10,316.80,11821
SO1100359,四川,美妆个护,11,575.52,２１４７５
SO1200360,四川,美妆个护,12,390.72,14579

SO0100361,福建,数码家电,1,,23116
SO0200362,福建,数码家电,2,520.96,19439
SO0300363,福建,数码家电,3,668.8,24955
SO0400364,福建,数码家电,4,704.0,26269
SO0500365,福建,数码家电,5,760.32,28370
SO0600366,福建,数码家电,6,1140.48,42555
SO0700367,福建,数码家电,7,689.92,25743
SO0800368,福建,数码家电,8,,26794
SO0900369,福建,数码家电,9,788.48,29421
SO1000370,福建,数码家电,10,844.8,31522
SO1100371,福建,数码家电,11,1534.72,57266
SO1200372,福建,数码家电,12,1041.92,３８８７８
SO0100373,福建,服饰鞋包,1,464.64,17337
SO0200374,福建,服饰鞋包,2,390.72,14579
SO0300375,福建,服饰鞋包,3,,18716
SO0400376,福建,服饰鞋包,4,528.0,19701
SO0500377,福建,服饰鞋包,5,570.24,21278
SO0600378,福建,服饰鞋包,6,855.36,31916
SO0700379,福建,服饰鞋包,7,517.44,19307
SO0800380,福建,服饰鞋包,8,538.56,20096

SO0900381,福建,服饰鞋包,9,591.36,22066
SO1000382,福建,服饰鞋包,10,,23642
SO1100383,福建,服饰鞋包,11,1151.04,42949
SO1200384,福建,服饰鞋包,12,781.44,29158
SO0100385,福建,食品生鲜,1,348.48,１３００３
SO0200386,福建,食品生鲜,2,293.04,10934
SO0300387,福建,食品生鲜,3,376.2,14037
SO0400388,福建,食品生鲜,4,396.0,14776
SO0500389,福建,食品生鲜,5,,15958
SO0600390,福建,食品生鲜,6,641.52,23937
SO0700391,福建,食品生鲜,7,388.08,14481
SO0800392,福建,食品生鲜,8,403.92,15072
SO0900393,福建,食品生鲜,9,443.52,16549
SO1000394,福建,食品生鲜,10,475.2,17731
SO1100395,福建,食品生鲜,11,863.28,32212
SO1200396,福建,食品生鲜,12,,21869
SO0100397,福建,家居日用,1,290.4,10836
SO0200398,福建,家居日用,2,244.2,９１１２
SO0300399,福建,家居日用,3,313.5,11698
SO0400400,福建,家居日用,4,330.0,12313

SO0500401,福建,家居日用,5,356.4,13299
SO0600402,福建,家居日用,6,534.60,19948
SO0700403,福建,家居日用,7,,12067
SO0800404,福建,家居日用,8,336.6,12560
SO0900405,福建,家居日用,9,369.6,13791
SO1000406,福建,家居日用,10,396.0,14776
SO1100407,福建,家居日用,11,719.4,26843
SO1200408,福建,家居日用,12,488.4,18224
SO0100409,福建,美妆个护,1,212.96,7946
SO0200410,福建,美妆个护,2,,6682
SO0300411,福建,美妆个护,3,229.9,８５７８
SO0400412,福建,美妆个护,4,242.0,9030
SO0500413,福建,美妆个护,5,261.36,9752
SO0600414,福建,美妆个护,6,392.04,14628
SO0700415,福建,美妆个护,7,237.16,8849
SO0800416,福建,美妆个护,8,246.84,9210
SO0900417,福建,美妆个护,9,,10113
SO1000418,福建,美妆个护,10,290.4,10836
SO1100419,福建,美妆个护,11,527.56,19685
SO1200420,福建,美妆个护,12,358.16,13364

SO0100421,湖北,数码家电,1,535.04,19964
SO0200422,湖北,数码家电,2,449.92,16788
SO0300423,湖北,数码家电,3,577.6,21552
SO0400424,湖北,数码家电,4,,22687
SO0500425,湖北,数码家电,5,656.64,24501
SO0600426,湖北,数码家电,6,984.96,36752
SO0700427,湖北,数码家电,7,595.84,22233
SO0800428,湖北,数码家电,8,620.16,23140
SO0900429,湖北,数码家电,9,680.96,25409
SO1000430,湖北,数码家电,10,729.6,27224
SO1100431,湖北,数码家电,11,,49457
SO1200432,湖北,数码家电,12,899.84,33576
SO0100433,湖北,服饰鞋包,1,401.28,14973
SO0200434,湖北,服饰鞋包,2,337.44,12591
SO0300435,湖北,服饰鞋包,3,433.20,16164
SO0400436,湖北,服饰鞋包,4,456.0,17015
SO0500437,湖北,服饰鞋包,5,492.48,１８３７６
SO0600438,湖北,服饰鞋包,6,,27564
SO0700439,湖北,服饰鞋包,7,446.88,16675
SO0800440,湖北,服饰鞋包,8,465.12,17355

SO0900441,湖北,服饰鞋包,9,510.72,19057
SO1000442,湖北,服饰鞋包,10,547.2,20418
SO1100443,湖北,服饰鞋包,11,994.08,37093
SO1200444,湖北,服饰鞋包,12,674.88,25182
SO0100445,湖北,食品生鲜,1,,11230
SO0200446,湖北,食品生鲜,2,253.08,9443
SO0300447,湖北,食品生鲜,3,324.9,12123
SO0400448,湖北,食品生鲜,4,342.0,12761
SO0500449,湖北,食品生鲜,5,369.36,13782
SO0600450,湖北,食品生鲜,6,554.04,２０６７３
SO0700451,湖北,食品生鲜,7,335.16,12506
SO0800452,湖北,食品生鲜,8,,13016
SO0900453,湖北,食品生鲜,9,383.04,14293
SO1000454,湖北,食品生鲜,10,410.4,15313
SO1100455,湖北,食品生鲜,11,745.56,27819
SO1200456,湖北,食品生鲜,12,506.16,18887
SO0100457,湖北,家居日用,1,250.80,9358
SO0200458,湖北,家居日用,2,210.9,7869
SO0300459,湖北,家居日用,3,,10103
SO0400460,湖北,家居日用,4,285.0,10634

SO0500461,湖北,家居日用,5,307.8,11485
SO0600462,湖北,家居日用,6,461.7,17228
SO0700463,湖北,家居日用,7,279.3,１０４２２
SO0800464,湖北,家居日用,8,290.7,10847
SO0900465,湖北,家居日用,9,319.2,11910
SO1000466,湖北,家居日用,10,,12761
SO1100467,湖北,家居日用,11,621.3,23183
SO1200468,湖北,家居日用,12,421.80,15739
SO0100469,湖北,美妆个护,1,183.92,6863
SO0200470,湖北,美妆个护,2,154.66,5771
SO0300471,湖北,美妆个护,3,198.55,7409
SO0400472,湖北,美妆个护,4,209.0,7799
SO0500473,湖北,美妆个护,5,,8422
SO0600474,湖北,美妆个护,6,338.58,12634
SO0700475,湖北,美妆个护,7,204.82,7643
SO0800476,湖北,美妆个护,8,213.18,７９５４
SO0900477,湖北,美妆个护,9,234.08,8734
SO1000478,湖北,美妆个护,10,250.8,9358
SO1100479,湖北,美妆个护,11,455.62,17001
SO1200480,湖北,美妆个护,12,,11542

合计,,,,"370,500.00",
